"","Rank","team","League","country","off","def","spi"
"3",3,"Chelsea","Chelsea","England",2.4,0.2,90.5
"5",5,"Liverpool","Liverpool","England",2.7,0.4,89.2
"6",6,"RB Leipzig","RB Leipzig","Germany",2.5,0.4,86.7
"7",7,"Real Madrid","Real Madrid","Spain",2.5,0.4,86.5
"8",8,"Man. United","Man. United","England",2.4,0.5,85.5
"9",9,"PSG","PSG","France",2.6,0.6,84.6
"10",10,"Dortmund","Dortmund","Germany",2.7,0.7,84.5
"11",11,"Atlético Madrid","Atlético Madrid","Spain",2.2,0.4,84.5
"12",12,"Atalanta","Atalanta","Italy",2.6,0.6,84.1
"13",13,"Arsenal","Arsenal","England",2.2,0.4,83.7
"14",14,"Inter Milan","Inter Milan","Italy",2.4,0.6,83.4
"15",15,"Juventus","Juventus","Italy",2.5,0.7,82.3
"16",16,"Sevilla","Sevilla","Spain",2.1,0.5,81.8
"17",17,"Real Sociedad","Real Sociedad","Spain",2.1,0.5,80.8
"18",18,"Ajax","Ajax","Netherlands",2.7,0.9,80.6
"20",20,"Villarreal","Villarreal","Spain",2.2,0.6,79.6
"21",21,"Napoli","Napoli","Italy",2.3,0.7,79.5
"22",22,"AC Milan","AC Milan","Italy",2.2,0.6,79.4
"23",23,"Monaco","Monaco","France",2.1,0.6,79.2
"24",24,"Wolfsburg","Wolfsburg","Germany",2.2,0.7,78.7
"25",25,"Brighton","Brighton","England",2,0.5,78.7
"26",26,"Leicester","Leicester","England",2.1,0.6,78.2
"27",27,"Tottenham","Tottenham","England",2.3,0.8,78.1
"28",28,"Zenit","Zenit","Russia",2.4,0.8,78
"29",29,"Porto","Porto","Portugal",2.1,0.7,76.8
"30",30,"Lyon","Lyon","France",2.3,0.8,76.7
"31",31,"Lille","Lille","France",1.7,0.4,76.5
"32",32,"Real Betis","Real Betis","Spain",2,0.6,76.1
"33",33,"Leverkusen","Leverkusen","Germany",2.1,0.7,76.1
"34",34,"West Ham","West Ham","England",2.2,0.8,76
"35",35,"Benfica","Benfica","Portugal",2.2,0.8,75.3
"36",36,"Leeds United","Leeds United","England",2.1,0.8,74.9
"37",37,"Getafe","Getafe","Spain",1.6,0.4,74.7
"38",38,"Gladbach","Gladbach","Germany",2.2,0.9,73.8
"39",39,"Eintracht","Eintracht","Germany",2.4,1,73.6
"40",40,"Athletic Bilbao","Athletic Bilbao","Spain",1.8,0.6,73.3
"41",41,"Flamengo","Flamengo","Brazil",2.1,0.8,73.1
"42",42,"Roma","Roma","Italy",2.2,0.9,72.9
"43",43,"Lazio","Lazio","Italy",2.1,0.9,72.8
"44",44,"Everton","Everton","England",1.9,0.7,72.3
"45",45,"Aston Villa","Aston Villa","England",2,0.8,72.2
"46",46,"Celta Vigo","Celta Vigo","Spain",2,0.8,72
"47",47,"Hoffenheim","Hoffenheim","Germany",2.2,0.9,71.9
"48",48,"Sporting","Sporting","Portugal",1.8,0.7,71.4
"49",49,"Rangers","Rangers","Scotland",2.1,0.9,71.4
"50",50,"Young Boys","Young Boys","Switzerland",2.2,1,71.3
"51",51,"Eibar","Eibar","Spain",1.8,0.7,71.2
"52",52,"Shakhtar","Shakhtar","",2.2,1,70.9
"53",53,"Union Berlin","Union Berlin","Germany",1.9,0.8,70.8
"54",54,"Olympiacos","Olympiacos","Greece",1.9,0.8,70.5
"55",55,"Sassuolo","Sassuolo","Italy",2.1,0.9,70.4
"56",56,"Rennes","Rennes","France",1.7,0.6,70.2
"57",57,"Mainz","Mainz","Germany",2,0.9,70.1
"58",58,"Wolves","Wolves","England",1.7,0.7,69.6
"59",59,"Fulham","Fulham","England",1.7,0.7,68
"60",60,"Osasuna","Osasuna","Spain",1.7,0.8,67.9
"61",61,"Newcastle","Newcastle","England",1.9,0.9,67.8
"62",62,"PSV","PSV","Netherlands",2.1,1.1,67.8
"63",63,"SC Freiburg","SC Freiburg","Germany",1.9,0.9,67.3
"64",64,"Huesca","Huesca","Spain",1.6,0.7,67.2
"65",65,"Brentford","Brentford","England",1.7,0.8,67
"66",66,"Southampton","Southampton","England",1.9,0.9,67
"67",67,"Hertha BSC","Hertha BSC","Germany",1.8,0.8,66.9
"68",68,"Burnley","Burnley","England",1.9,0.9,66.8
"69",69,"Valencia","Valencia","Spain",1.8,0.9,66.6
"70",70,"Alavés","Alavés","Spain",1.7,0.8,66.6
"71",71,"AZ Alkmaar","AZ Alkmaar","Netherlands",2,1.1,66.3
"72",72,"Dinamo Zagreb","Dinamo Zagreb","",1.9,1,66.2
"73",73,"VfB Stuttgart","VfB Stuttgart","Germany",2,1.1,66
"74",74,"Slavia Prague","Slavia Prague","",1.9,1,65.9
"75",75,"Club Brugge","Club Brugge","Belgium",1.9,1,65.8
"76",76,"River Plate","River Plate","Argentina",1.7,0.9,65.5
"77",77,"Norwich","Norwich","England",1.8,1,65
"78",78,"Marseille","Marseille","France",1.7,0.9,64.5
"79",79,"Levante","Levante","Spain",1.8,0.9,64.2
"80",80,"Strasbourg","Strasbourg","France",1.6,0.9,63.6
"81",81,"Sampdoria","Sampdoria","Italy",1.7,1,63.4
"82",82,"Internacional","Internacional","Brazil",1.6,0.8,63.3
"83",83,"1. FC Köln","1. FC Köln","Germany",1.8,1,63.3
"84",84,"Galatasaray","Galatasaray","Turkey",1.9,1.1,62.9
"85",85,"Besiktas","Besiktas","Turkey",2,1.2,62.7
"86",86,"Granada","Granada","Spain",1.7,0.9,62.5
"87",87,"Arminia","Arminia","Germany",1.6,0.9,62.5
"88",88,"Valladolid","Valladolid","Spain",1.6,0.9,62.2
"89",89,"Midtjylland","Midtjylland","Denmark",1.8,1.1,62.2
"90",90,"Genk","Genk","Belgium",2.1,1.3,62.2
"91",91,"Guangzhou E.","Guangzhou E.","China",1.9,1.1,61.8
"92",92,"Dynamo Kiev","Dynamo Kiev","",1.8,1.1,61.7
"93",93,"Lokomotiv","Lokomotiv","Russia",1.6,1,61.7
"94",94,"Verona","Verona","Italy",1.6,0.9,61.7
"95",95,"Crystal Palace","Crystal Palace","England",1.7,1,61.5
"96",96,"Spartak Moscow","Spartak Moscow","Russia",1.8,1.1,61.4
